"FRAUD_MSG_LIST","Fraud Messages"
"Buy Now Pay Later","Buy Now Pay Later"
"Buy Now Pay Later (BNPL)","Buy Now Pay Later (BNPL)"
"You will be redirected to complete the payment with Buy Now Pay Later installments.","You will be redirected to complete the payment with Buy Now Pay Later installments."
"Buy Now Pay Later allows you to split your purchase into convenient installments.","Buy Now Pay Later allows you to split your purchase into convenient installments."
"No hidden fees","No hidden fees"
"Quick approval process","Quick approval process"
"Flexible payment options","Flexible payment options"
"Complete the payment in your BBVA app to finish your purchase","Complete the payment in your BBVA app to finish your purchase"
"Completa el pago en tu app BBVA para finalizar tu compra","Complete the payment in your BBVA app to finish your purchase"
"Haven't completed it yet?","Haven't completed it yet?"
"¿Aún no lo has completado?","Haven't completed it yet?"
"Open BBVA app","Open BBVA app"
"Abrir app BBVA","Open BBVA app"
"Expires on:","Expires on:"
"Expira el:","Expires on:"
"Reference Number:","Reference Number:"
"Open BBVA app (Desktop):","Open BBVA app (Desktop):"
"Open BBVA app (Mobile):","Open BBVA app (Mobile):"
"Pay By Bank payment information will be available after order confirmation.","Pay By Bank payment information will be available after order confirmation."
"Instructions:","Instructions:"
"Payment Link:","Payment Link:"
"Complete Payment","Complete Payment"
"BNPL payment information will be available after order confirmation.","BNPL payment information will be available after order confirmation."
"Reference Number:","Reference Number:"
"Expires at:","Expires at:"
"Monthly Installments:","Monthly Installments:"
"months","months"
"Payment Status:","Payment Status:"
